repeat,seed,outer_fold,model,n_train,n_test,test_positives,prevalence,pr_auc_ap,best_inner_ap,candidate,parameters,iterations,nonzero_features,violating_features,max_violation,l2,soft_penalty,violations
10,9042,2,Soft Monotonic + L2,57,14,6,0.42857142857142855,0.9107142857142856,0.6322135642135642,24,"{""l2"": 10.0, ""soft_penalty"": 0.0}",9,21,2.0,0.004111178502366574,10.0,0.0,
10,9042,2,Monotonic + L2,57,14,6,0.42857142857142855,0.9305555555555556,0.6208484848484848,3,"{""l2"": 1.0}",12,20,0.0,0.0,1.0,,0.0
10,9042,2,L2,57,14,6,0.42857142857142855,0.9107142857142856,0.6322135642135642,4,"{""l2"": 10.0}",9,21,,,10.0,,
10,9042,3,Soft Monotonic + L2,57,14,6,0.42857142857142855,0.8208333333333333,0.7033088023088022,16,"{""l2"": 0.1, ""soft_penalty"": 1.0}",23,21,3.0,0.016709533532988003,0.1,1.0,
10,9042,3,Monotonic + L2,57,14,6,0.42857142857142855,0.8208333333333333,0.7033088023088022,2,"{""l2"": 0.1}",16,18,0.0,0.0,0.1,,0.0
10,9042,3,L2,57,14,6,0.42857142857142855,0.8501683501683501,0.6865310245310245,3,"{""l2"": 1.0}",11,21,,,1.0,,
10,9042,4,Soft Monotonic + L2,57,14,6,0.42857142857142855,0.7159090909090908,0.7380620490620492,23,"{""l2"": 1.0, ""soft_penalty"": 10.0}",19,21,2.0,0.0028251623456316934,1.0,10.0,
10,9042,4,Monotonic + L2,57,14,6,0.42857142857142855,0.6954064454064454,0.7537763347763347,4,"{""l2"": 10.0}",10,19,0.0,0.0,10.0,,0.0
10,9042,4,L2,57,14,6,0.42857142857142855,0.7278138528138527,0.7175064935064934,3,"{""l2"": 1.0}",10,21,,,1.0,,
10,9042,5,Soft Monotonic + L2,57,14,6,0.42857142857142855,0.4046647796647797,0.8285627705627705,29,"{""l2"": 10.0, ""soft_penalty"": 10.0}",11,21,2.0,0.005066956210062985,10.0,10.0,
10,9042,5,Monotonic + L2,57,14,6,0.42857142857142855,0.40274170274170273,0.8285627705627705,4,"{""l2"": 10.0}",10,19,0.0,0.0,10.0,,0.0
10,9042,5,L2,57,14,6,0.42857142857142855,0.4046647796647797,0.812134199134199,4,"{""l2"": 10.0}",10,21,,,10.0,,
11,10042,1,Soft Monotonic + L2,56,15,7,0.4666666666666667,0.5841880341880341,0.7943564213564214,11,"{""l2"": 0.01, ""soft_penalty"": 10.0}",127,21,4.0,0.00348068941334213,0.01,10.0,
11,10042,1,Monotonic + L2,56,15,7,0.4666666666666667,0.5841880341880341,0.7943564213564214,1,"{""l2"": 0.01}",28,17,0.0,0.0,0.01,,0.0
11,10042,1,L2,56,15,7,0.4666666666666667,0.5580808080808081,0.7681183261183261,0,"{""l2"": 0.001}",63,21,,,0.001,,
